,Variabel,Enkät,Dubbelkodning,Beskrivning,Enkättext,Kodlista,Itemnr
0,promoted_1,SLOSH 06 working,,,Ditt arbete @ Har du befordrats/fått en högre tjänst under de två senaste åren?,janej1,A1_a
1,promoted_2,SLOSH 08 working,,,Har du fått en annan tjänsteposition de senaste två åren?,omfattning1,4
2,promoted_3,SLOSH 10 working,,,Har du fått en förändrad tjänsteposition de senaste två åren?,omfattning2,8
3,promoted_4,SLOSH 12 working,1.0,,Har du fått en förändrad tjänsteposition under de senaste två åren?,omfattning2,4
4,promoted_4,SLOSH 12 non-working,0.0,,Har du fått en förändrad tjänsteposition under de senaste två åren?,omfattning2,4
5,promoted_5,SLOSH 14 working,1.0,,Har du fått en förändrad tjänsteposition under de senaste två åren?,omfattning3_1,8
6,promoted_5,SLOSH 14 non-working,0.0,,Har du fått en förändrad tjänsteposition under de senaste två åren?,omfattning3_1,8
7,promoted_6,SLOSH 16 non-working,0.0,,Har du fått en förändrad tjänsteposition under de senaste två åren?,omfattning3_1,7
8,promoted_6,SLOSH 16 working,1.0,,Har du fått en förändrad tjänsteposition under de senaste två åren?,omfattning3_1,7
9,promoted_7,SLOSH 18 non-working,0.0,,Har du fått en förändrad tjänsteposition under de senaste två åren?,omfattning3_1,28
10,promoted_7,SLOSH 18 working,,,Har du fått en förändrad tjänsteposition under de senaste två åren?,omfattning3_1,28
11,demoted_1,SLOSH 06 working,,,Har du fått en sämre position under de senaste två åren?,janej1,A1_b
12,uptodate_1,SLOSH 06 working,,,"Har du krav på dig att vara uppdaterad i ditt arbete, t.ex. att ständigt lära dig nya saker och löpande ta in ny information?",janej1,A1_c
13,uptodate_2,SLOSH 08 working,,,"Har du krav på dig att vara uppdaterad i ditt arbete, t.ex. att ständigt lära dig nya saker och löpande ta in ny information?",ofta1,7_e
14,uptodate_3,SLOSH 10 working,,,"Har du krav på dig att vara uppdaterad i ditt arbete, t.ex. att ständigt lära dig nya saker och löpande ta in ny information?",ofta1,25_d
15,resource_1,SLOSH 06 working,,,Har du tillräckligt med resurser för att klara av ditt arbete?,janej1,A1_d
16,powdecis_1,SLOSH 06 working,,,Har du tillräckliga rättigheter att fatta beslut för att klara av ditt arbete?,janej1,A1_e
17,capacity_1,SLOSH 06 working,,,Har du kapacitet som inte tillvaratas i ditt arbete?,janej1,A1_f
18,annatarb_1,SLOSH 06 working,,,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Risk för att du mot din vilja flyttas till annat arbete?,janej1,A1_g
19,annatarb_2,SLOSH 08 working,1.0,,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Risk för att du mot din vilja flyttas till annat arbete,janej1,5_a
20,annatarb_2,SLOSH 08 non-working,0.0,,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Risk för att du mot din vilja flyttas till annat arbete,janej1,5_a
21,annatarb_3,SLOSH 10 working,,,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Risk för att du mot din vilja flyttas till annat arbete,nejja1,15_a
22,annatarb_4,SLOSH 12 working,,,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Risk för att du mot din vilja flyttas till annat arbete,nejja1,15_a
23,annatarb_5,SLOSH 14 working,,,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Risk för att du mot din vilja flyttas till annat arbete,grad1,21_a
24,annatarb_6,SLOSH 16 working,,,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Risk för att du mot din vilja flyttas till annat arbete,grad2,20_a
25,annatarb_7,SLOSH 18 working,,,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Risk för att du mot din vilja flyttas till annat arbete,grad2_1,18_a
26,permitte_1,SLOSH 06 working,,,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Hot om permittering eller uppsägning?,janej1,A1_h
