Kodlista,From.1,Tom.1
janej1,2006,
janej1,2006,
janej1,2006,
omfattning1,2008,
omfattning1,2008,
omfattning1,2008,
omfattning1,2008,
omfattning1,2008,
omfattning1,2008,
omfattning2,2010,
omfattning2,2010,
omfattning2,2010,
omfattning2,2010,
omfattning2,2012,
omfattning2,2012,
omfattning2,2012,
omfattning2,2012,
omfattning2,2012,
omfattning2,2012,
omfattning2,2012,
omfattning2,2012,
omfattning3_1,2014,
omfattning3_1,2014,
omfattning3_1,2014,
omfattning3_1,2014,
omfattning3_1,2014,
omfattning2,2014,
omfattning2,2014,
omfattning2,2014,
omfattning2,2014,
omfattning3_1,2016,
omfattning3_1,2016,
omfattning3_1,2016,
omfattning3_1,2016,
omfattning3_1,2016,
omfattning2_1,2016,
omfattning2_1,2016,
omfattning2_1,2016,
omfattning2_1,2016,
omfattning2_1,2016,
omfattning3_1,2018,
omfattning3_1,2018,
omfattning3_1,2018,
omfattning3_1,2018,
omfattning3_1,2018,
janej1,2006,
janej1,2006,
janej1,2006,
janej1,2006,
janej1,2006,
janej1,2006,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2010,
janej1,2006,
janej1,2006,
janej1,2006,
janej1,2006,
janej1,2006,
janej1,2006,
janej1,2006,
janej1,2006,
janej1,2006,
janej1,2006,
janej1,2006,
janej1,2006,
janej1,2008,
janej1,2008,
janej1,2008,
janej1,2008,
janej1,2008,
janej1,2008,
nejja1,2010,
nejja1,2010,
nejja1,2010,
nejja1,2012,
nejja1,2012,
nejja1,2012,
grad1,2014,
grad1,2014,
grad1,2014,
grad1,2014,
grad1,2014,
grad2,2016,
grad2,2016,
grad2,2016,
grad2,2016,
grad2,2016,
grad2_1,2018,
grad2_1,2018,
grad2_1,2018,
grad2_1,2018,
grad2_1,2018,
grad2_1,2018,
janej1,2006,
janej1,2006,
janej1,2006,
janej1,2008,
janej1,2008,
janej1,2008,
janej1,2008,
janej1,2008,
janej1,2008,
nejja1,2010,
nejja1,2010,
nejja1,2010,
nejja1,2012,
nejja1,2012,
nejja1,2012,
grad1,2014,
grad1,2014,
grad1,2014,
grad1,2014,
grad1,2014,
grad2_1,2016,
grad2_1,2016,
grad2_1,2016,
grad2_1,2016,
grad2_1,2016,
grad2_1,2016,
grad2_1,2018,
grad2_1,2018,
grad2_1,2018,
grad2_1,2018,
grad2_1,2018,
grad2_1,2018,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2010,
alltid1,2010,
alltid1,2010,
alltid1,2010,
alltid1,2010,
alltid1,2012,
alltid1,2012,
alltid1,2012,
alltid1,2012,
alltid1,2012,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2014,
ofta1,2014,
ofta1,2014,
ofta1,2014,
ofta1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1,2016,
ofta1,2016,
ofta1,2016,
ofta1,2016,
ofta1,2016,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2014,
ofta1,2014,
ofta1,2014,
ofta1,2014,
ofta1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1,2016,
ofta1,2016,
ofta1,2016,
ofta1,2016,
ofta1,2016,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1_1,2018,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2006,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2008,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2010,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1,2012,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2014,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
ofta1_1,2016,
