Kodlista,From.1,Tom.1
1,2006,
2,2008,
3,2010,
4,2014,
5,2016,
6,2006,
7,2010,
8,2014,
9,2016,
10,2016,
11,2006,
12,2014,
13,2016,
14,2018,
15,2006,
16,2008,
17,2006,
18,2006,
19,2014,
20,2006,
21,2014,
22,2006,
23,2006,
24,2008,
25,2012,
26,2016,
27,2006,
28,2006,
29,2014,
30,2006,
31,2006,
32,2006,
33,2014,
34,2006,
35,2014,
36,2006,
37,2006,
38,2006,
39,2006,
40,2006,
41,2006,
42,2006,
43,2006,
44,2006,
45,2006,
46,2006,
47,2014,
48,2006,
49,2006,
50,2014,
51,2018,
52,2008,
53,2006,
54,2006,
55,2006,
56,2006,
57,2014,
58,2014,
59,2006,
60,2006,
61,2014,
62,2006,
63,2006,
64,2006,
65,2010,
66,2014,
67,2014,
68,2006,
69,2006,
70,2014,
71,2006,
72,2006,
73,2010,
74,2014,
75,2014,
76,2006,
77,2012,
78,2006,
79,2014,
80,2006,
81,2014,
82,2006,
83,2014,
84,2006,
85,2010,
86,2014,
87,2006,
88,2014,
89,2016,
90,2006,
91,2006,
92,2010,
93,2012,
94,2014,
95,2010,
96,2012,
97,2014,
98,2006,
99,2008,
100,2012,
101,2014,
102,2006,
103,2006,
104,2010,
105,2006,
106,2006,
107,2008,
108,2010,
109,2006,
110,2006,
111,2008,
112,2010,
113,2006,
114,2006,
115,2006,
116,2006,
117,2008,
118,2014,
119,2014,
120,2006,
121,2016,
122,2008,
123,2012,
124,2008,
125,2014,
126,2006,
127,2006,
128,2018,
129,2006,
130,2006,
131,2014,
