Kodlista,Kod,Svarstext
1,1,Ja
1,2,Nej
1,.,Missing
2,1,Mycket högre
2,2,Något högre
2,3,Oförändrad
2,4,Något lägre
2,5,Mycket lägre
2,.,Missing
3,1,Högre
3,2,Oförändrad
3,3,Lägre
3,.,Missing
4,1,"Ja, högre"
4,2,"Nej, oförändrad"
4,3,"Ja, lägre"
4,>11,slask
4,.,Missing
5,1,Högre
5,2,Oförändrad
5,3,Lägre
5,>11,slask
5,.,Missing
6,1,"Ja, ofta"
6,2,"Ja, ibland"
6,3,"Nej, sällan"
6,4,"Nej, så gott som aldrig/aldrig"
6,.,Missing
7,1,Nej
7,2,Ja
7,.,Missing
8,1,Nej
8,2,"Ja, i liten grand"
8,3,"Ja, i hög grad"
8,4,Ja i mycket hög grad
8,.,Missing
9,1,Nej
9,2,"Ja, i liten grad"
9,3,"Ja, i hög grad"
9,4,Ja i mycket hög grad
9,.,Missing
10,1,Nej
10,2,"Ja, i liten grad"
10,3,"Ja, i hög grad"
10,4,Ja i mycket hög grad
10,>11,slask
10,.,Missing
11,1,Alltid
11,2,För det mesta
11,3,För det mesta inte
11,4,Aldrig
11,.,Missing
12,1,"Ja, ofta"
12,2,"Ja, ibland"
12,3,"Nej, sällan"
12,4,"Nej, så gott som aldrig/aldrig"
12,>11,slask
12,.,Missing
13,1,Alltid
13,2,Ofta
13,3,Ibland
13,4,Sällan
13,5,Aldrig/nästan aldrig
13,.,Missing
14,1,Alltid
14,2,Ofta
14,3,Ibland
14,4,Sällan
14,5,Aldrig/nästan aldrig
14,>11,slask
14,.,Missing
15,1,Varje dag
15,2,Ett par dagar per vecka (1 dag av 2)
15,3,En dag per vecka (1 dag av 5)
15,4,Ett par dagar per månad (1 dag av 10)
15,5,Inte alls/Sällan de sista 3 månaderna
15,.,Missing
16,1,Varje dag
16,2,Ett par dar per vecka (1 dag av 2)
16,3,En dag per vecka (1 dag av 5)
16,4,Ett par dar per månad (1 dag av 10)
16,5,"Inte alls, sällan de sista 3 månaderna"
16,.,Missing
17,1,Nästan hela tiden
17,2,Ungefär 3/4 av tiden
17,3,Halva tiden
17,4,Ungefär 1/4 av tiden
17,5,"Lite, kanske 1/10 av tiden"
17,6,"Nej, inte alls"
17,.,Missing
18,1,Mycket bra
18,2,Ganska bra
18,3,Ganska dåligt
18,4,Mycket dåligt
18,.,Missing
19,1,Mycket bra
19,2,Ganska bra
19,3,Ganska dåligt
19,4,Mycket dåligt
19,>11,slask
19,.,Missing
20,1,Mycket lätt
20,2,Ganska lätt
20,3,Ganska svårt
20,4,Mycket svårt
20,5,Vet ej
20,.,Missing
21,1,Mycket lätt
21,2,Ganska lätt
21,3,Ganska svårt
21,4,Mycket svårt
21,5,Vet ej
21,>11,slask
21,.,Missing
22,1,Mycket större
22,2,Något större
22,3,Ungefär genomsnittlig
22,4,Något mindre
22,5,Mycket mindre
22,6,Vet inte
22,.,Missing
23,1,Varje dag
23,2,Ett par dar per vecka (1 dag av 2)
23,3,En dag per vecka (1 dag av 5)
23,4,Ett par dar per månad (1 dag av 10)
23,5,Några gånger de sista 3 månaderna
23,6,Någon gång de sista 12 månaderna
23,7,Inte alls de sista 12 månaderna
23,.,Missing
24,1,Varje dag
24,2,Ett par dar per vecka (1 dag av 2)
24,3,En dag per vecka (1 av 5)
24,4,Ett par dar per månad (1 av 10)
24,5,Några gånger de sista 3 månaderna
24,6,Någon gång de sista 12 månaderna
24,7,Inte alls de sista 12 månaderna
24,.,Missing
25,1,"Ja, en eller flera ggr/vecka"
25,2,"Ja, en eller flera ggr/månad"
25,3,"Ja, någon gång de senaste 6 månaderna"
25,4,Nej
25,.,Missing
26,1,"Ja, en eller flera ggr/vecka"
26,2,"Ja, en eller flera ggr/månad"
26,3,"Ja, någon gång de senaste 6 månaderna"
26,4,Nej
26,>11,slask
26,.,Missing
27,1,Instämmer
27,2,Instämmer men jag upplever det inte alls som en belastning
27,3,Instämmer och jag upplever det i viss mån som en belastning
27,4,Instämmer och jag upplever det i hög grad som en belastning
27,5,Instämmer och jag upplever det i mycket hög grad som en belastning
27,.,Missing
28,1,Stämmer helt och hållet
28,2,Stämmer ganska bra
28,3,Stämmer inte särskilt bra
28,4,Stämmer inte alls
28,.,Missing
29,1,Stämmer helt och hållet
29,2,Stämmer ganska bra
29,3,Stämmer inte särskilt bra
29,4,Stämmer inte alls
29,>11,slask
29,.,Missing
30,1,Lägga ned verksamheten
30,2,Skära ned verksamheten
30,3,Utöka verksamheten
30,4,Nej inga sådana planer
30,5,Vet inte
30,.,Missing
31,1,Stämmer inte alls
31,2,-
31,3,-
31,4,-
31,5,Stämmer helt
31,.,Missing
32,1,Stämmer inte alls
32,2,Stämmer knappast
32,3,Stämmer nästan
32,4,Stämmer helt
32,.,Missing
33,1,Stämmer inte alls
33,2,Stämmer knappast
33,3,Stämmer nästan
33,4,Stämmer helt
33,>11,slask
33,.,Missing
34,1,Genom att diskutera och förhandla
34,2,"Genom att använda sig av sin ställning, prestige eller order"
34,3,Man försöker inte lösa dem alls
34,.,Missing
35,1,Genom att diskutera och förhandla
35,2,"Genom att använda sig av sin ställning, prestige eller order"
35,3,Man försöker inte lösa dem alls
35,>11,slask
35,.,Missing
