Svarstext,From,Tom
0,2006,
-,2006,
... mycket överkvalificerad,2006,
... skulle behöva en hel del ytterligare kunskaper,2006,
... skulle behöva ytterligare vissa kunskaper,2006,
... är lagom kvalificerad,2006,
... är överkvalificerad i vissa avseenden,2006,
0-4 anställda,2006,
0-4 personer,2010,
0-99,2006,
0-999,2006,
0-9999,2006,
1-2 dagar i veckan,2006,
1-4 anställda,2012,
1-4 personer,2010,
1-5,2006,
1-9,2014,
10 eller fler,2014,
10-19 anställda,2006,
10-19 personer,2010,
100 anställda eller fler,2012,
100-499 anställda,2006,
100-499 personer,2010,
11-25,2006,
20 personer eller fler,2010,
20-49 anställda,2006,
20-49 personer,2010,
20-99 anställda,2012,
3-4 dagar i veckan,2006,
5-19 anställda,2012,
5-9 anställda,2006,
5-9 personer,2010,
50-99 anställda,2006,
50-99 personer,2010,
500 anställda eller fler,2006,
500 personer eller fler,2010,
6-10,2006,
Aldrig,2006,
Aldrig/nästan aldrig,2016,
Alltid,2006,
Annan anställningsform:,2006,
Annan arbetstid,2006,
Annan löneform,2006,
Annat,2006,
"Annat, ange vad",2006,
"Annat, ange vad :",2006,
"Anställningsvillkor, t.ex. lön eller arbetstider",2006,
"Använder ej telefon, e-post eller dator i jobbet",2006,
Arbetar i kontorslandskap med 10-24 personer,2006,
Arbetar i kontorslandskap med 24 personer eller mer,2006,
Arbetar i kontorslandskap med 25 personer eller fler,2010,
Arbetar i kontorslandskap med 4-9 personer,2006,
Arbetar inte alls på kontor,2006,
Arbetar inte hemma,2006,
Arbetar mindre än 20 % av arbetstiden på kontoret,2006,
"Arbetar på kontor, men har ingen fast arbetsplats",2006,
Arbetare,2006,
Arbetskrav och arbetstempo,2006,
Arbetsuppgifter,2006,
Befogenheter och ansvar,2006,
Chef,2006,
Dagarbete (ca 06–18),2006,
Dagligen,2006,
Delar kontorsrum med 1-2 andra,2006,
Deltid,2008,
Deltid med fast arbetstid,2012,
"Deltid, ange hur många procent av heltid",2006,
Delvis av annan åsikt,2006,
Delvis av samma åsikt,2006,
Dina arbetskamrater,2006,
Egen företagare,2006,
Egenföretagare,2010,
Eget företag/lantbruk,2008,
Ej aktuell,2006,
Ej aktuellt,2006,
Ej anställd (t.ex. jordbrukare),2012,
En dag per vecka (1 av 5),2008,
En dag per vecka (1 dag av 5),2006,
En gång,2006,
Ett par dagar per månad (1 dag av 10),2006,
Ett par dagar per vecka (1 dag av 2),2006,
Ett par dar per månad (1 av 10),2008,
Ett par dar per månad (1 dag av 10),2006,
Ett par dar per vecka (1 dag av 2),2006,
"Fast lön (timlön, veckolön, månadslön)",2006,
Fler än 25,2006,
Fyra gånger eller mer,2006,
För det mesta,2006,
För det mesta inte,2006,
Förening/Ideell organisation,2006,
Förtroendearbetstid/oreglerad arbetstid,2006,
Ganska betydelsefull,2006,
Ganska betydelselös,2006,
Ganska bra,2006,
Ganska dålig,2006,
Ganska dåligt,2006,
Ganska god,2006,
