Variabel,Enkät,Beskrivning,Dubbelkodning,Itemnr,Enkättext,Kodlista
promoted_1,SLOSH 06 working,,,A1_a,Ditt arbete @ Har du befordrats/fått en högre tjänst under de två senaste åren?,1
promoted_2,SLOSH 08 working,,,4,Har du fått en annan tjänsteposition de senaste två åren?,2
promoted_3,SLOSH 10 working,,,8,Har du fått en förändrad tjänsteposition de senaste två åren?,3
promoted_4,SLOSH 12 working,,1.0,4,Har du fått en förändrad tjänsteposition under de senaste två åren?,3
promoted_4,SLOSH 12 non-working,,1.0,4,Har du fått en förändrad tjänsteposition under de senaste två åren?,3
promoted_5,SLOSH 14 working,,1.0,8,Har du fått en förändrad tjänsteposition under de senaste två åren?,4
promoted_5,SLOSH 14 non-working,,1.0,8,Har du fått en förändrad tjänsteposition under de senaste två åren?,4
promoted_6,SLOSH 16 working,,1.0,7,Har du fått en förändrad tjänsteposition under de senaste två åren?,4
promoted_6,SLOSH 16 non-working,,1.0,7,Har du fått en förändrad tjänsteposition under de senaste två åren?,4
promoted_7,SLOSH 18 working,,,28,Har du fått en förändrad tjänsteposition under de senaste två åren?,4
promoted_7,SLOSH 18 non-working,,,28,Har du fått en förändrad tjänsteposition under de senaste två åren?,4
demoted_1,SLOSH 06 working,,,A1_b,Har du fått en sämre position under de senaste två åren?,1
uptodate_1,SLOSH 06 working,,,A1_c,"Har du krav på dig att vara uppdaterad i ditt arbete, t.ex. att ständigt lära dig nya saker och löpande ta in ny information?",1
uptodate_2,SLOSH 08 working,,,7_e,"Har du krav på dig att vara uppdaterad i ditt arbete, t.ex. att ständigt lära dig nya saker och löpande ta in ny information?",6
uptodate_3,SLOSH 10 working,,,25_d,"Har du krav på dig att vara uppdaterad i ditt arbete, t.ex. att ständigt lära dig nya saker och löpande ta in ny information?",6
resource_1,SLOSH 06 working,,,A1_d,Har du tillräckligt med resurser för att klara av ditt arbete?,1
powdecis_1,SLOSH 06 working,,,A1_e,Har du tillräckliga rättigheter att fatta beslut för att klara av ditt arbete?,1
capacity_1,SLOSH 06 working,,,A1_f,Har du kapacitet som inte tillvaratas i ditt arbete?,1
annatarb_1,SLOSH 06 working,,,A1_g,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Risk för att du mot din vilja flyttas till annat arbete?,1
annatarb_2,SLOSH 08 working,,1.0,5_a,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Risk för att du mot din vilja flyttas till annat arbete,1
annatarb_2,SLOSH 08 non-working,,1.0,5_a,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Risk för att du mot din vilja flyttas till annat arbete,1
annatarb_3,SLOSH 10 working,,,15_a,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Risk för att du mot din vilja flyttas till annat arbete,7
annatarb_4,SLOSH 12 working,,,15_a,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Risk för att du mot din vilja flyttas till annat arbete,7
